Code,Title,Size,Style,Country,Group,Available,Price (GBP)
HED20037,The Vines of San Lorenzo - Edward Steinberg  ,0cl,Other,England,Books,10,15.0
HED2017,Quinta do Noval Nacional Vintage 1994,75cl,Red,Portugal,Port ,1,1630.0
HED2036,Warre`s Vintage 1977  ,75cl,Red,Portugal,Port ,10,110.0
HED2172,Cuvee Cathelin Chave 1995,75cl,Red,France,Northern Rhone,3,7320.0
HED2217,Hermitage Rouge Chave 2001,75cl,Red,France,Northern Rhone,11,660.0
HED2226,Climens 2001,75cl,White,France,Sauternes & Barsac,6,225.0
HED2236,Yquem 1871,75cl,White,France,Sauternes & Barsac,1,24100.0
HED2240,Yquem 1908,75cl,White,France,Sauternes & Barsac,12,6950.0
HED2253,Yquem 1937,75cl,White,France,Sauternes & Barsac,1,4990.0
HED2268,Yquem 1955,75cl,White,France,Sauternes & Barsac,1,994.0
HED2288,Yquem 1983,75cl,White,France,Sauternes & Barsac,1,480.0
HED2289,Yquem 1986,75cl,White,France,Sauternes & Barsac,1,450.0
HED2291,Yquem 1988,75cl,White,France,Sauternes & Barsac,6,490.0
HED2292,Yquem 1989,75cl,White,France,Sauternes & Barsac,2,550.0
HED2293,Yquem 1990,75cl,White,France,Sauternes & Barsac,7,595.0
HED2300,Yquem 2000  ,75cl,White,France,Sauternes & Barsac,9,410.0
HED2301,Yquem 2001,75cl,White,France,Sauternes & Barsac,7,700.0
HED2303,Yquem 2003,75cl,White,France,Sauternes & Barsac,3,370.0
HED2304,Yquem 2006,75cl,White,France,Sauternes & Barsac,6,400.0
HED2306,Yquem Assortment 1899 - 2009,675cl,White,France,Sauternes & Barsac,1,48655.0
HED2313,Yquem Half 2001  ,37.5cl,White,France,Sauternes & Barsac,2,310.0
HED2314,Yquem Half 2003,37.5cl,White,France,Sauternes & Barsac,12,185.0
HED2379,Colgin IX Estate Proprietary Blend 2005,75cl,Red,United States,USA,8,678.0
HED2438,Heitz Martha`s Vineyard Cabernet Sauvignon 1985,75cl,Red,United States,USA,1,588.0
HED2439,Heitz Martha`s Vineyard Cabernet Sauvignon 2000,75cl,Red,United States,USA,2,366.0
HED2440,Heitz Martha`s Vineyard Cabernet Sauvignon 2001,75cl,Red,United States,USA,1,478.0
HED2441,Heitz Martha`s Vineyard Cabernet Sauvignon Magnum 1988,150cl,Red,United States,USA,3,966.0
HED2469,Lokoya Howell Mountain Cabernet Sauvignon 500cl 2007,500cl,Red,United States,USA,1,1550.0
HED2479,Opus One 1995,75cl,Red,United States,USA,1,632.0
HED2534,Schrader RBS 600cl 2008,600cl,Red,United States,USA,1,4630.0
HED2535,Schrader RBS 900cl 2008,900cl,Red,United States,USA,1,5110.0
HED2539,Schrader T6 900cl 2008,900cl,Red,United States,USA,1,5750.0
HED2541,Screaming Eagle 1993,75cl,Red,United States,USA,2,3810.0
HED2543,Screaming Eagle 1995,75cl,Red,United States,USA,1,4250.0
HED2551,Screaming Eagle 2004,75cl,Red,United States,USA,5,4824.0
HED2552,Screaming Eagle 2005,75cl,Red,United States,USA,1,4830.0
HED2597,Sine Qua Non 17th Nail in My Cranium 2005,75cl,Red,United States,USA,3,2080.0
HED2605,Sine Qua Non Atlantis Vin de Paille Roussane Half 2005,37.5cl,White,United States,USA,1,252.0
HED2629,Sine Qua Non Boots; Pasties; Scanty Panties and A Ten Gallon Hat TBA Rousanne Half 2003,37.5cl,White,United States,USA,3,575.0
HED2632,Sine Qua Non In The Crosshairs Grenache 2006,75cl,Red,United States,USA,3,1430.0
HED2633,Sine Qua Non In the Crosshairs Grenache Magnum 2006,150cl,Red,United States,USA,1,2780.0
HED2634,Sine Qua Non Dangerous Birds Grenache 2007,75cl,Red,United States,USA,1,1080.0
HED2636,Sine Qua Non The Duel Syrah 2008  ,75cl,Red,United States,USA,2,750.0
HED2639,Sine Qua Non E Rose Half 2002,37.5cl,Rose,United States,USA,3,780.0
HED2641,Sine Qua Non El Corazon Grenache Rose Half 1998,37.5cl,Rose,United States,USA,1,4320.0
HED2644,Sine Qua Non Heart Chorea Syrah 2002  ,75cl,Red,United States,USA,2,2400.0
HED2649,Sine Qua Non Hoodoo Man 2006,75cl,White,United States,USA,1,399.0
HED2655,Sine Qua Non In Flagrante Syrah 300cl 2000,300cl,Red,United States,USA,1,3720.0
HED2657,Sine Qua Non Inamorata Vin de Paille Roussanne Half 2001,37.5cl,White,United States,USA,6,428.0
HED2659,Sine Qua Non Inaugural Syrah 2003,75cl,Red,United States,USA,2,3320.0
HED2661,Sine Qua Non Incognito Grenache Magnum 2000,150cl,Red,United States,USA,1,2640.0
HED2663,Sine Qua Non Into the Dark Grenache 300cl 2004,300cl,Red,United States,USA,1,2760.0
HED2666,Sine Qua Non Just for the Love Of It Syrah 2002,75cl,Red,United States,USA,4,1680.0
HED2690,Sine Qua Non Mr K Noble Man TBA Chardonnay Half 2001,37.5cl,White,United States,USA,4,342.0
HED2691,Sine Qua Non Mr K Noble Man TBA Chardonnay Half 2002,37.5cl,White,United States,USA,1,195.0
HED2692,Sine Qua Non Mr K Noble Man TBA Chardonnay Half 2003,37.5cl,White,United States,USA,1,298.0
HED2701,Sine Qua Non Mr K Straw Man Vin de Paille Semillon Half 2001,37.5cl,White,United States,USA,1,322.0
HED2710,Sine Qua Non Naked Truth Grenache 2005,75cl,Red,United States,USA,2,1180.0
HED2716,Sine Qua Non Next of Kyn II Magnum 2008,150cl,Red,United States,USA,2,1150.0
HED2724,Sine Qua Non Ode to E Grenache Magnum 2004,150cl,Red,United States,USA,1,3450.0
HED2725,Sine Qua Non Ode to E Syrah 2004,75cl,Red,United States,USA,1,1200.0
HED2726,Sine Qua Non Omadhaun & Poltroon 1996,75cl,White,United States,USA,3,1740.0
HED2734,Sine Qua Non Pagan Poetry Syrah Rose Half 2001,37.5cl,Rose,United States,USA,13,1110.0
HED2737,Sine Qua Non Pictures Grenache 2007,75cl,Red,United States,USA,4,450.0
HED2746,Sine Qua Non Raven Series Syrah Magnum 2006,150cl,Red,United States,USA,1,1680.0
HED2749,Sine Qua Non Rien Ne Va Plus Roussanne Magnum 2001,150cl,White,United States,USA,5,3430.0
HED2750,Sine Qua Non A Shot In The Dark Syrah 2006,75cl,Red,United States,USA,3,1650.0
HED2756,Sine Qua Non Suey TBA Roussanne Half 2000,37.5cl,White,United States,USA,3,940.0
HED2761,Sine Qua Non The Boot Magnum 2000,150cl,White,United States,USA,1,945.0
HED2762,Sine Qua Non The Bride 1995,75cl,White,United States,USA,1,6720.0
HED2763,Sine Qua Non The Filly Half 2000,37.5cl,Rose,United States,USA,7,1550.0
HED2764,Sine Qua Non The Hussy Roussanne 2000,75cl,White,United States,USA,1,1190.0
HED2766,Sine Qua Non The Line Grenache 2008,75cl,Red,United States,USA,1,499.0
HED2770,Sine Qua Non The Monkey 2010,75cl,White,United States,USA,4,360.0
HED2786,Sine Qua Non Ventriloquist 2001,75cl,Red,United States,USA,5,622.0
HED2792,Sine Qua Non XL Rose Half 1999,37.5cl,Red,United States,USA,4,1800.0
HED2806,Verite La Joie 500cl 2008,500cl,Red,United States,USA,1,1130.0
HED2811,Verite La Joie 500cl 2007,500cl,Red,United States,USA,1,2080.0
HED2818,Verite La Muse 500cl 2008,500cl,Red,United States,USA,1,1130.0
HED2826,Verite Le Desir 500cl 2008,500cl,Red,United States,USA,1,1130.0
HED2832,Nikka Taketsuru 21 Year Old Pure Malt    ,70cl,Spirits,Japan,Whisky,17,750.0
HED2838,Ragnaud Sabourin Alliance 10 VSOP,70cl,Spirits,France,Cognac,6,79.0
HED2839,Ragnaud Sabourin Alliance 20 Reserve Speciale,70cl,Spirits,France,Cognac,3,101.0
HED2840,Ragnaud Sabourin Alliance 35 Fontvieille    ,70cl,Spirits,France,Cognac,5,173.0
HED2841,Leyrat VSOP,70cl,Spirits,France,Cognac,1,65.9
HED2843,Leyrat Glory Extra,70cl,Spirits,France,Cognac,3,442.0
HED2844,Baron de Sigognac 10 Year Old    ,70cl,Spirits,France,Armagnac,5,50.0
HED2856,Adrien Camut 6 Year Old,70cl,Spirits,France,Calvados,4,74.9
HED2857,Adrien Camut 12 Year Old,70cl,Spirits,France,Calvados,4,115.0
HED2858,Adrien Camut 18 Year Old,70cl,Spirits,France,Calvados,4,165.0
HED2885,Compass Box Spice Tree,70cl,Spirits,Scotland,Whisky,6,55.0
HED2886,Compass Box Peat Monster,70cl,Spirits,Scotland,Whisky,7,52.0
HED2903,Nikka From The Barrel,50cl,Spirits,Japan,Whisky,8,45.9
HED2914,Nikka Taketsuru 17 Year Old Pure Malt    ,70cl,Spirits,Japan,Whisky,10,495.0
HED2918,Rittenhouse Rye Bottled In Bond,70cl,Spirits,United States,Whiskey,1,41.7
HED2920,Rowan`s Creek Small Batch    ,70cl,Spirits,United States,Whiskey,3,64.5
HED2923,Death`s Door Gin,70cl,Spirits,United States,Gin,2,43.2
HED2924,Aviation Gin,70cl,Spirits,United States,Gin,96,39.9
HED2931,Zuidam Oude Genever 3 Year Old Single Barrel,50cl,Spirits,Netherlands,Gin,1,35.1
HED2932,Zuidam Oude Genever 5 Year Old Single Barrel,50cl,Spirits,Netherlands,Gin,6,37.5
HED2938,Doorly`s XO,70cl,Spirits,Barbados,Rum,7,39.7
HED2941,R.L. Seale Taylor`s Velvet Falernum,70cl,Spirits,Barbados,"Liqueurs, Bitters & Other",4,19.1
HED2945,Hacienda de Chihuahua Sotol Plata,70cl,Spirits,Mexico,Sotol,6,45.7
HED2948,Bepi Tosolini Amaretto Saliza,70cl,Spirits,Italy,"Liqueurs, Bitters & Other",4,31.2
