Code,Title,Size,Style,Country,Group,Available,Price (inc VAT),Price (ex-VAT),Link
HED0452,Lafite Rothschild 2004,75cl,Red,France,Bordeaux,1,850.0,680.0,http://default/product/lafite-rothschild-2004
HED04721,Sine Qua Non Tant Pis Magnum 1995,150cl,Red,United States,USA,1,11900.0,9520.0,http://default/product/sine-qua-non-tant-pis-magnum-1995
HED0484,Lafleur 2000,75cl,Red,France,Bordeaux,1,1900.0,1520.0,http://default/product/lafleur-2000
HED0485,Lafleur 2005,75cl,Red,France,Bordeaux,4,2100.0,1680.0,http://default/product/lafleur-2005
HED0496,Latour 1989,75cl,Red,France,Bordeaux,2,575.0,460.0,http://default/product/latour-1989
HED0533,Leoville Barton 2000,75cl,Red,France,Bordeaux,10,175.0,140.0,http://default/product/leoville-barton-2000
HED0538,Leoville Las Cases 1986,75cl,Red,France,Bordeaux,3,535.0,428.0,http://default/product/leoville-las-cases-1986
HED0556,Lynch Bages 1990,75cl,Red,France,Bordeaux,1,425.0,340.0,http://default/product/lynch-bages-1990
HED0574,Margaux 1990,75cl,Red,France,Bordeaux,8,1520.0,1216.0,http://default/product/margaux-1990
HED0576,Margaux 1996,75cl,Red,France,Bordeaux,20,960.0,768.0,http://default/product/margaux-1996
HED0581,Margaux 2005,75cl,Red,France,Bordeaux,24,1050.0,840.0,http://default/product/margaux-2005
HED0601,Montrose 1995,75cl,Red,France,Bordeaux,3,200.0,160.0,http://default/product/montrose-1995
HED0614,Mouton Rothschild 1982,75cl,Red,France,Bordeaux,12,1500.0,1200.0,http://default/product/mouton-rothschild-1982
HED0615,Mouton Rothschild 1986,75cl,Red,France,Bordeaux,6,1050.0,840.0,http://default/product/mouton-rothschild-1986
HED0622,Mouton Rothschild 2000,75cl,Red,France,Bordeaux,2,2300.0,1840.0,http://default/product/mouton-rothschild-2000
HED0625,Mouton Rothschild 2005,75cl,Red,France,Bordeaux,26,900.0,720.0,http://default/product/mouton-rothschild-2005
HED0626,Mouton Rothschild 2006,75cl,Red,France,Bordeaux,8,675.0,540.0,http://default/product/mouton-rothschild-2006
HED0658,Palmer 2000,75cl,Red,France,Bordeaux,7,470.0,376.0,http://default/product/palmer-2000
