code,title,size,style,country,type,availability,price_gbp
HED39136,Mouton Rothschild 2021,75cl,Red,France,Bordeaux,10.0,620.0
HED22374,Cuvaison Pinot Noir 2018,75cl,Red,United States,USA,2.0,40.79999923706055
HED46133,El Tequileno Anejo Gran Reserva,70cl,Spirits,Mexico,Tequila,4.0,79.9000015258789
HED39495,Savigny Dominaudes Champy 1951,75cl,Red,France,Burgundy,4.0,117.0
HED22637,Loch Lomond 14 Year Old,70cl,Spirits,Scotland,Whisky,5.0,54.5
HED22707,Passorosso Tenuta di Passopisciaro 2017,75cl,Red,Italy,Italy,5.0,44.900001525878906
HED46245,Keigetsu Kimoto Junmai Daiginjo (Exclusive to Hedonism Wines),72cl,Spirits,Japan,Sake,49.0,55.0
HED90094,Clos de la Roche Domaine Dujac 1994,75cl,Red,France,Burgundy,2.0,4640.0
HED90152,D`Esclans Rock Angel Rose 2021,75cl,Rose,France,Regional France,17.0,24.0
HED90363,Fleur de Pedesclaux 2014,75cl,Red,France,Bordeaux,38.0,29.799999237060547
HED90397,Dalmore Vintage 2007,70cl,Spirits,Scotland,Whisky,4.0,120.0
HED90401,Chambrun 2019,75cl,Red,France,Bordeaux,8.0,34.900001525878906
HED22994,Flaccianello della Pieve Fontodi 2019,75cl,Red,Italy,Italy,9.0,137.0
HED23049,San Felice Pugnitello 2019,75cl,Red,Italy,Italy,2.0,45.75
HED46451,Glenrinnes Eight Lands Producers Series Barrel Aged Vodka,50cl,Spirits,Scotland,Vodka,13.0,35.900001525878906
HED91372,Bonnes Mares Jadot 1995,75cl,Red,France,Burgundy,2.0,430.0
HED91467,Nuits St Georges Les Chaignots Mugneret Gibourg 2002,75cl,Red,France,Burgundy,3.0,460.0
HED91763,Mondavi Reserve Cabernet Sauvignon 1975,75cl,Red,United States,USA,2.0,488.0
HED23208,Bourgogne Chardonnay Jean Jacques Girard 2021,75cl,White,France,Burgundy,14.0,24.0
HED91916,Vougeot Clos du Prieure Blanc Vougeraie 2020,75cl,White,France,Burgundy,15.0,70.0
HED91945,Von Siebenthal Parcela 7 2019,75cl,Red,Chile,Chile,2.0,25.100000381469727
HED23272,Promis Ca`Marcanda Gaja 2020,75cl,Red,Italy,Italy,21.0,43.70000076293945
HED23361,Meursault Terres de Velle 2017,75cl,White,France,Burgundy,5.0,67.5
HED23339,Roebuck Estates Rose de Noirs 2017,75cl,Rose,England,England,4.0,39.70000076293945
