code,title,size,style,country,type,availability,price_gbp,import_date,url
HED6056,Aberlour 12 Year Old,70cl,Spirits,Scotland,Whisky,6.0,43.9,2024-03-28,https://hedonism.co.uk/product/aberlour-12-year-old-whisky
HED6052,Lagavulin 16 Year Old,70cl,Spirits,Scotland,Whisky,36.0,74.8,2024-03-28,https://hedonism.co.uk/product/lagavulin-16-year-old-whisky
HED6049,Talisker 10 Year Old,70cl,Spirits,Scotland,Whisky,18.0,45.0,2024-03-28,https://hedonism.co.uk/product/talisker-10-year-old-whisky
HED6048,Royal Lochnagar 12 Year Old,70cl,Spirits,Scotland,Whisky,9.0,40.9,2024-03-28,https://hedonism.co.uk/product/royal-lochnagar-12-year-old-whisky
HED6046,Oban 14 Year Old,70cl,Spirits,Scotland,Whisky,8.0,75.0,2024-03-28,https://hedonism.co.uk/product/oban-14-year-old-whisky
HED6043,Johnnie Walker Blue Label,70cl,Spirits,Scotland,Whisky,297.0,174.0,2024-03-28,https://hedonism.co.uk/product/johnnie-walker-blue-label-whisky
HED6042,Johnnie Walker Black Label 12 Year Old,70cl,Spirits,Scotland,Whisky,78.0,28.9,2024-03-28,https://hedonism.co.uk/product/johnnie-walker-black-label-12-year-old-whisky
HED60348,Kilchoman Sanaig,70cl,Spirits,Scotland,Whisky,2.0,53.9,2024-03-28,https://hedonism.co.uk/product/kilchoman-sanaig-whisky
HED60282,Nikka Yoichi Single Malt,70cl,Spirits,Japan,Whisky,7.0,77.7,2024-03-28,https://hedonism.co.uk/product/nikka-yoichi-single-malt-whisky
HED55995,Hibiki Blender`s Choice,70cl,Spirits,Japan,Whisky,87.0,200.0,2024-03-28,https://hedonism.co.uk/product/hibiki-blender`s-choice-whisky
HED54764,Tamdhu 15 Year Old,70cl,Spirits,Scotland,Whisky,5.0,86.7,2024-03-28,https://hedonism.co.uk/product/tamdhu-15-year-old-whisky
HED53433,Deanston 12 Year Old,70cl,Spirits,Scotland,Whisky,8.0,43.5,2024-03-28,https://hedonism.co.uk/product/deanston-12-year-old-whisky
HED53399,Benriach 21 Year Old The Twenty One,70cl,Spirits,Scotland,Whisky,7.0,143.0,2024-03-28,https://hedonism.co.uk/product/benriach-21-year-old-the-twenty-one-whisky
HED52182,Rock Oyster 3cl,3cl,Spirits,Scotland,Whisky,4.0,4.9,2024-03-28,https://hedonism.co.uk/product/rock-oyster-3cl-whisky
HED52181,Brenne Cuvee Speciale 3cl,3cl,Spirits,France,Whisky,2.0,5.0,2024-03-28,https://hedonism.co.uk/product/brenne-cuvee-speciale-3cl-whisky
HED51274,Glendronach 15 Year Old Revival,70cl,Spirits,Scotland,Whisky,16.0,78.5,2024-03-28,https://hedonism.co.uk/product/glendronach-15-year-old-revival-whisky
HED51228,Mortlach 20 Year Old,70cl,Spirits,Scotland,Whisky,6.0,285.0,2024-03-28,https://hedonism.co.uk/product/mortlach-20-year-old-whisky
HED51226,Mortlach 12 Year Old,70cl,Spirits,Scotland,Whisky,10.0,58.9,2024-03-28,https://hedonism.co.uk/product/mortlach-12-year-old-whisky
HED50819,Bowmore 23 Year Old Celebration of the Cask Hedonism Exclusive 1995,70cl,Spirits,Scotland,Whisky,1.0,235.0,2024-03-28,https://hedonism.co.uk/product/bowmore-23-year-old-celebration-of-the-cask-hedonism-exclusive-1995-whisky
HED50819,Bowmore 23 Year Old Celebration of the Cask (Exclusive to Hedonism Wines) 1995,70cl,Spirits,Scotland,Whisky,1.0,235.0,2024-03-28,https://hedonism.co.uk/product/bowmore-23-year-old-celebration-of-the-cask-(exclusive-to-hedonism-wines)-1995-whisky
HED50134,Chivas Regal Mizunara,70cl,Spirits,Scotland,Whisky,5.0,47.5,2024-03-28,https://hedonism.co.uk/product/chivas-regal-mizunara-whisky
HED47096,Daftmill Summer Distillation 2011,70cl,Spirits,Scotland,Whisky,13.0,130.0,2024-03-28,https://hedonism.co.uk/product/daftmill-summer-distillation-2011-whisky
HED47070,Lagg Corriecravie Sherry Finish,70cl,Spirits,Scotland,Whisky,3.0,70.0,2024-03-28,https://hedonism.co.uk/product/lagg-corriecravie-sherry-finish-whisky
HED47070,Lagg Corriecravie Sherry Finish,70cl,Spirits,Scotland,Whisky,7.0,64.0,2024-03-28,https://hedonism.co.uk/product/lagg-corriecravie-sherry-finish-whisky
HED47069,Lagg Kilmory,70cl,Spirits,Scotland,Whisky,6.0,55.0,2024-03-28,https://hedonism.co.uk/product/lagg-kilmory-whisky
HED47069,Lagg Kilmory,70cl,Spirits,Scotland,Whisky,6.0,49.0,2024-03-28,https://hedonism.co.uk/product/lagg-kilmory-whisky
HED4706,Glenfarclas 15 Year Old,70cl,Spirits,Scotland,Whisky,16.0,74.9,2024-03-28,https://hedonism.co.uk/product/glenfarclas-15-year-old-whisky
HED47016,Springbank 25 Year Old Fresh Sherry Hogshead Starkicker 1998,70cl,Spirits,Scotland,Whisky,2.0,1350.0,2024-03-28,https://hedonism.co.uk/product/springbank-25-year-old-fresh-sherry-hogshead-starkicker-1998-whisky
HED47011,Dalmore 30 Year Old 2023 Limited Release,70cl,Spirits,Scotland,Whisky,11.0,4000.0,2024-03-28,https://hedonism.co.uk/product/dalmore-30-year-old-2023-limited-release-whisky
HED46991,Macallan A Night On Earth The Journey,70cl,Spirits,Scotland,Whisky,86.0,105.0,2024-03-28,https://hedonism.co.uk/product/macallan-a-night-on-earth-the-journey-whisky
HED46938,Glenmorangie 16 Year Old The Nectar,70cl,Spirits,Scotland,Whisky,7.0,79.0,2024-03-28,https://hedonism.co.uk/product/glenmorangie-16-year-old-the-nectar-whisky
HED46924,Bruichladdich 24 Year Old Black Art 11.1 1998,70cl,Spirits,Scotland,Whisky,6.0,385.0,2024-03-28,https://hedonism.co.uk/product/bruichladdich-24-year-old-black-art-11.1-1998-whisky
HED46904,Glenfarclas 18 Year Old 100cl,100cl,Spirits,Scotland,Whisky,34.0,135.0,2024-03-28,https://hedonism.co.uk/product/glenfarclas-18-year-old-100cl-whisky
